"ID";"DutchEconomy";"Periods";"CO2_1";"N2O_2";"CH4_3";"GreenhouseGasEquivalents_4";"NOx_5";"SO2_6";"NH3_7";"AcidificationEquivalents_8";"CFK12Equivalents_9";"CO_10";"NMVOC_11";"PM10_12"
"0";"B000579";"1990JJ00";"  179158";"    60.8";"  1274.3";"  237619";"   772.5";"   247.6";"   351.4";"    45.2";"  6194.4";"  1194.6";"   609.5";"    79.7"
"1";"B000579";"1991JJ00";"  188205";"    61.4";"  1290.6";"  245902";"   755.5";"   212.9";"   356.0";"    44.0";"  5109.8";"  1162.0";"   562.3";"    75.8"
"2";"B000579";"1992JJ00";"  188693";"    62.3";"  1275.1";"  247294";"   754.0";"   211.3";"   297.6";"    40.5";"  4025.2";"  1155.3";"   529.9";"    72.6"
"3";"B000579";"1993JJ00";"  189628";"    63.2";"  1257.7";"  248799";"   740.7";"   205.7";"   312.0";"    40.9";"  2940.6";"  1106.1";"   497.7";"    68.9"
"4";"B000579";"1994JJ00";"  191928";"    61.7";"  1217.3";"  251414";"   716.8";"   196.0";"   279.2";"    38.1";"  1856.0";"  1032.5";"   466.5";"    65.2"
"5";"B000579";"1995JJ00";"  194189";"    61.4";"  1188.4";"  252235";"   699.4";"   194.6";"   224.4";"    34.5";"   771.4";"   957.7";"   435.6";"    62.4"
"6";"B000579";"1996JJ00";"  203915";"    61.5";"  1160.6";"  263601";"   688.5";"   187.8";"   179.4";"    31.4";"   527.4";"   933.7";"   415.8";"    56.9"
"7";"B000579";"1997JJ00";"  199289";"    60.7";"  1095.6";"  257945";"   669.0";"   175.7";"   176.4";"    30.4";"   404.5";"   889.2";"   386.6";"    53.9"
"8";"B000579";"1998JJ00";"  200996";"    58.8";"  1066.0";"  259078";"   654.2";"   174.1";"   163.5";"    29.3";"   282.1";"   852.4";"   369.5";"    52.9"
"9";"B000579";"1999JJ00";"  197987";"    56.5";"  1015.8";"  248185";"   672.1";"   177.4";"   159.3";"    29.5";"   273.4";"   827.0";"   355.1";"    53.2"
"10";"B000579";"2000JJ00";"  199698";"    54.8";"   971.8";"  247235";"   655.9";"   163.2";"   176.9";"    29.7";"   252.0";"   812.3";"   340.5";"    53.4"
"11";"B000579";"2001JJ00";"  204971";"    51.5";"   945.2";"  248068";"   643.5";"   160.6";"   170.6";"    29.0";"   231.3";"   803.6";"   310.2";"    51.5"
"12";"B000579";"2002JJ00";"  204179";"    48.7";"   900.1";"  245844";"   620.2";"   146.1";"   163.6";"    27.7";"   204.2";"   791.8";"   294.8";"    49.8"
"13";"B000579";"2003JJ00";"  207228";"    48.3";"   869.1";"  246146";"   619.7";"   143.0";"   160.0";"    27.3";"   175.1";"   786.0";"   287.6";"    47.5"
"14";"B000579";"2004JJ00";"  209688";"    49.8";"   853.8";"  248374";"   609.9";"   142.1";"   158.4";"    27.0";"   165.3";"   803.1";"   268.1";"    46.0"
"15";"B000579";"2005JJ00";"  207432";"    49.5";"   795.5";"  244364";"   606.1";"   145.4";"   155.2";"    26.8";"   155.1";"   784.8";"   272.6";"    45.4"
"16";"B000579";"2006JJ00";"  201291";"    49.4";"   777.8";"  237946";"   564.0";"   129.6";"   158.0";"    25.6";"   144.7";"   787.7";"   265.0";"    42.9"
"17";"B000579";"2007JJ00";"  202877";"    43.8";"   779.8";"  238148";"   564.2";"   129.4";"   154.4";"    25.4";"   134.5";"   781.1";"   268.7";"    43.0"
"18";"B000579";"2008JJ00";"  206894";"    31.2";"   788.9";"  238632";"   549.9";"   104.2";"   140.8";"    23.5";"   124.3";"   785.6";"   263.0";"    40.7"
"19";"B000579";"2009JJ00";"  202301";"    30.5";"   780.0";"  233614";"   509.4";"    88.3";"   138.2";"    21.9";"   114.6";"   734.5";"   263.6";"    38.4"
"20";"B000579";"2010JJ00";"  213926";"    29.5";"   776.5";"  245237";"   493.9";"    75.5";"   134.7";"    21.0";"   104.6";"   731.6";"   272.8";"    36.8"
"21";"B000579";"2011JJ00";"  201651";"    28.8";"   754.6";"  231924";"   458.8";"    61.6";"   131.4";"    19.6";"    94.8";"   709.1";"   269.6";"    34.8"
"22";"B000579";"2012JJ00";"  199807";"    28.3";"   738.0";"  229450";"   445.6";"    62.3";"   125.5";"    19.0";"    85.3";"   683.8";"   266.7";"    33.4"
"23";"B000579";"2013JJ00";"  198988";"    28.9";"   737.6";"  228345";"   445.5";"    60.7";"   124.8";"    18.9";"    81.2";"   661.7";"   263.8";"    33.0"
"24";"B000579";"2014JJ00";"  194310";"    29.4";"   721.1";"  222969";"   425.7";"    59.4";"   128.6";"    18.7";"    78.0";"   644.7";"   252.8";"    32.7"
"25";"B000579";"2015JJ00";"  201943";"    30.2";"   729.0";"  231246";"   416.9";"    46.4";"   129.8";"    18.1";"    75.1";"   648.6";"   260.4";"    31.3"
"26";"B000579";"2016JJ00";"  202157";"    29.1";"   734.3";"  231314";"   405.0";"    39.9";"   129.0";"    17.6";"    72.4";"   635.4";"   258.3";"    30.0"
"27";"B000579";"2017JJ00";"  199777";"    29.9";"   721.5";"  228733";"   397.3";"    38.3";"   132.9";"    17.6";"    69.9";"   628.2";"   258.9";"    29.6"
"28";"B000579";"2018JJ00";"  196306";"    29.3";"   693.8";"  224510";"   386.6";"    36.5";"   132.3";"    17.3";"    67.8";"   613.1";"   251.5";"    28.8"
"29";"1050010";"1990JJ00";"   37802";"     0.4";"    28.6";"   38643";"   162.5";"     6.2";"    14.7";"     4.6";"   678.7";"   709.0";"   205.8";"    12.7"
"30";"1050010";"1991JJ00";"   41027";"     0.5";"    29.5";"   41919";"   155.5";"     5.9";"    15.0";"     4.4";"   571.8";"   629.2";"   182.3";"    11.9"
"31";"1050010";"1992JJ00";"   39613";"     0.6";"    27.7";"   40488";"   143.7";"     5.8";"    15.5";"     4.2";"   464.9";"   601.8";"   173.6";"    11.5"
"32";"1050010";"1993JJ00";"   40861";"     0.7";"    27.9";"   41768";"   134.6";"     5.6";"    15.8";"     4.0";"   358.0";"   566.0";"   164.5";"    10.9"
"33";"1050010";"1994JJ00";"   39823";"     0.8";"    26.5";"   40721";"   125.3";"     5.3";"    15.8";"     3.8";"   251.2";"   540.3";"   157.1";"    10.6"
"34";"1050010";"1995JJ00";"   41871";"     0.9";"    27.8";"   42892";"   120.8";"     4.9";"    13.5";"     3.6";"   144.3";"   547.5";"   151.8";"    10.9"
"35";"1050010";"1996JJ00";"   45856";"     1.0";"    30.4";"   46971";"   118.4";"     3.8";"    13.9";"     3.5";"    58.5";"   533.5";"   146.4";"    10.5"
"36";"1050010";"1997JJ00";"   42109";"     0.9";"    26.9";"   43142";"   108.7";"     2.4";"    14.4";"     3.3";"    48.8";"   518.6";"   137.5";"    10.4"
"37";"1050010";"1998JJ00";"   41105";"     1.0";"    25.8";"   42117";"   100.1";"     2.4";"    14.8";"     3.1";"    42.1";"   492.9";"   124.7";"    10.2"
"38";"1050010";"1999JJ00";"   40653";"     1.0";"    24.5";"   41596";"    96.3";"     2.6";"    15.2";"     3.1";"    45.1";"   476.3";"   115.7";"     9.9"
"39";"1050010";"2000JJ00";"   40883";"     1.0";"    24.2";"   42040";"    89.2";"     2.0";"    14.4";"     2.8";"    39.1";"   473.1";"   109.8";"    10.0"
"40";"1050010";"2001JJ00";"   41823";"     0.9";"    24.5";"   42929";"    84.0";"     1.1";"    16.0";"     2.8";"    34.7";"   464.6";"   102.3";"     9.5"
"41";"1050010";"2002JJ00";"   41372";"     0.9";"    23.8";"   42434";"    79.7";"     1.2";"    16.1";"     2.7";"    30.9";"   465.9";"    97.0";"     9.4"
"42";"1050010";"2003JJ00";"   42102";"     0.9";"    24.1";"   43199";"    75.8";"     0.9";"    16.0";"     2.6";"    27.6";"   469.7";"    93.0";"     9.4"
